20241007,罗湖区,百仕达,整租·翠拥华庭一期,2室2厅,59.15平米,5400
20241007,罗湖区,百仕达,整租·旭飞华达园,1室0厅,22.45平米,2369
20241007,罗湖区,百仕达,合租·东安花园,5居室,9.70平米,1560
20241007,罗湖区,百仕达,整租·叠翠居,1室1厅,35.00平米,2700
20241007,罗湖区,百仕达,合租·翠竹苑,4居室,15.60平米,1860
20241007,罗湖区,百仕达,整租·翠竹苑,3室1厅,93.00平米,6800
20241007,罗湖区,百仕达,整租·旭飞华达园,1室1厅,40.37平米,3600
20241007,罗湖区,百仕达,合租·百仕达花园二期,4居室,12.40平米,2730
20241007,罗湖区,百仕达,整租·旭飞华达园,1室1厅,38.69平米,3400
20241007,罗湖区,百仕达,合租·东乐花园,3居室,11.90平米,1630
20241007,罗湖区,百仕达,整租·华达园公寓,1室0厅,29.80平米,2800
20241007,罗湖区,百仕达,整租·华达园公寓,1室0厅,27.00平米,2700
20241007,罗湖区,百仕达,合租·东乐花园,4居室,7.80平米,1330
20241007,罗湖区,百仕达,整租·旭飞华达园,2室1厅,50.00平米,4500
20241007,罗湖区,百仕达,合租·东乐花园,4居室,8.30平米,1260
20241007,罗湖区,百仕达,整租·旭飞华达园,1室1厅,40.26平米,3700
20241007,罗湖区,百仕达,合租·东乐花园,4居室,11.50平米,1660
20241007,罗湖区,百仕达,整租·华达园公寓,1室0厅,28.00平米,2600
20241007,罗湖区,百仕达,合租·东安花园,4居室,12.20平米,1430
20241007,罗湖区,百仕达,整租·旭飞华达园,1室0厅,22.00平米,2400
20241007,罗湖区,百仕达,合租·东乐花园,4居室,11.90平米,1390
20241007,罗湖区,百仕达,整租·阳光绿地家园,2室1厅,40.00平米,3800
20241007,罗湖区,百仕达,合租·东乐花园,3居室,12.80平米,1790
20241007,罗湖区,百仕达,整租·百仕达花园一期,2室2厅,75.00平米,6900
20241007,罗湖区,百仕达,合租·东乐花园,4居室,8.50平米,1430
20241007,罗湖区,百仕达,合租·东乐花园,4居室,7.95平米,1390
20241007,罗湖区,百仕达,合租·东乐花园,4居室,14.20平米,1760
20241007,罗湖区,百仕达,整租·华达园公寓,1室1厅,27.76平米,3030
20241007,罗湖区,百仕达,整租·东乐花园,3室1厅,95.26平米,7729
20241007,罗湖区,百仕达,整租·传麒东湖名苑,3室1厅,89.46平米,8329
