20241009,罗湖区,地王,整租·骏庭名园,2室1厅,51.21平米,4700
20241009,罗湖区,地王,整租·地王大厦信兴广场,2室1厅,94.20平米,6900
20241009,罗湖区,地王,独栋·融寓,松园店,27.10-27.50平米,3200
20241009,罗湖区,地王,整租·骏庭名园,1室1厅,51.00平米,4400
20241009,罗湖区,地王,独栋·融寓,松园店,22.00平米,2800-2900
20241009,罗湖区,地王,整租·风格名苑,1室1厅,48.00平米,4500
20241009,罗湖区,地王,整租·中航凯特公寓,1室0厅,31.00平米,2800
20241009,罗湖区,地王,独栋·融寓,松园店,33.00平米,3700
20241009,罗湖区,地王,整租·鸿翔花园,1室0厅,41.00平米,3502
20241009,罗湖区,地王,独栋·融寓,松园店,25.10平米,3100
20241009,罗湖区,地王,整租·金园花园,2室1厅,55.00平米,4300
20241009,罗湖区,地王,整租·港岛银座,2室1厅,79.00平米,7800
20241009,罗湖区,地王,独栋·融寓,松园店,21.00-21.20平米,2900
20241009,罗湖区,地王,整租·骏庭名园,1室1厅,51.00平米,4000
20241009,罗湖区,地王,独栋·融寓,松园店,26.00平米,3100
20241009,罗湖区,地王,整租·大信大厦,2室2厅,91.00平米,5400
20241009,罗湖区,地王,独栋·融寓,松园店,35.00平米,4000
20241009,罗湖区,地王,整租·鸿翔花园,1室0厅,35.00平米,3300
20241009,罗湖区,地王,独栋·融寓,松园店,31.40平米,3500
20241009,罗湖区,地王,整租·骏庭名园,1室1厅,51.00平米,3980
20241009,罗湖区,地王,独栋·家缘,华讯中心,50.00平米,4000
20241009,罗湖区,地王,整租·港岛银座,1室1厅,63.00平米,6500
20241009,罗湖区,地王,合租·大塘垅小区,4居室,12.10平米,1690
20241009,罗湖区,地王,整租·港岛银座,2室1厅,68.00平米,7300
20241009,罗湖区,地王,合租·骏庭名园,4居室,11.80平米,2290
20241009,罗湖区,地王,独栋·家缘,幸福华府,41.00平米,3600
20241009,罗湖区,地王,合租·大塘垅小区,4居室,10.00平米,1660
20241009,罗湖区,地王,合租·松园南小区,4居室,11.00平米,1590
20241009,罗湖区,地王,合租·松园南小区,4居室,9.54平米,1530
20241009,罗湖区,地王,整租·鸿翔花园,1室1厅,40.94平米,4132
